villageId,i,heard,adopt,nSent,age,female,income,edu,hasPhone,usePhoneCall,usePhoneText,phone,pol_index,distMeeting,leader,prosoc_dic,prosoc_pub,attend,satisfaction,priority,post_effective,post_responsive,post_responsive_dyna,post_capacity,post_capacity_dyna,post_assets_edu,post_assets_health,post_assets_water,post_assets_roads
7,11100101,1,0,0,37,1,4,1,1,1,1,1,0.705491733,0.310513733,0,0.2,0.1,0,NA,Education,3,4,4,4,4,5,4,2,3
7,11100201,1,1,4,86,0,2,1,1,1,0,0,0.027783508,0.319614723,0,0.5,0.5,0,0,"Infrastructure, like roads and bridges",1,4,4,2,4,4,5,1,2
7,11100202,0,0,0,74,1,4,0,1,1,0,0,0.109428327,0.309501281,0,0,0,0,NA,Education,3,5,4,4,4,4,4,1,4
7,11100301,1,0,0,29,1,4,1,1,1,1,1,0.437850691,0.287886887,0,0.2,0.5,0,NA,Education,3,5,3,4,4,2,1,4,4
7,11100401,1,1,2,26,0,4,1,1,1,1,1,0.437850691,0.364589134,1,0,0.2,1,0,Healthcare,3,4,3,4,4,3,2,3,3
7,11100402,0,0,0,22,1,4,1,1,1,0,0,0.705491733,0.376102557,0,0.3,0.5,0,NA,Access to clean water,5,5,4,5,5,5,2,1,4
7,11100501,0,0,0,42,1,4,0,1,1,0,0,6.51E-04,0.142632924,0,0.2,0.2,0,NA,Access to clean water,5,4,4,5,3,2,2,1,2
7,11100502,0,0,0,52,0,4,1,1,1,0,0,6.51E-04,0.141811846,1,0.5,0.3,0,NA,Access to clean water,4,2,3,4,3,2,2,1,3
7,11100503,0,0,0,25,1,4,1,1,1,1,1,-0.576592993,0.138335525,0,0.1,0.1,0,NA,Access to clean water,3,4,3,4,3,2,1,1,4
7,11100601,1,0,0,39,1,2,0,1,0,0,0,-0.568279898,0.05729517,0,0.1,0.2,0,NA,"Direct assistance to the poor (food, cash)",NA,3,4,5,4,4,4,4,2
7,11100602,0,0,0,40,0,2,1,1,1,1,1,-0.300638856,0.057388074,1,0.1,0.2,0,NA,Access to clean water,3,5,3,4,3,4,1,1,4
7,11100701,1,0,0,27,1,2,0,1,0,0,0,0.705491733,0.800783434,0,0.3,0.2,0,NA,Healthcare,3,2,4,4,4,2,2,2,4
7,11100801,0,0,0,24,0,2,0,0,0,0,0,-0.568279898,0.752408201,0,0.3,0.1,0,NA,"Direct assistance to the poor (food, cash)",2,2,4,4,4,2,2,1,1
7,11100802,0,0,0,38,1,2,0,0,0,0,0,0.143077263,0.749813007,0,0.3,0.2,0,NA,"Direct assistance to the poor (food, cash)",5,3,4,5,4,5,2,2,3
7,11100803,1,0,0,67,1,2,0,0,0,0,0,0.410718305,0.753757424,0,0.2,0.3,1,NA,"Direct assistance to the poor (food, cash)",4,2,4,4,4,2,2,4,1
7,11100804,0,0,0,56,0,2,0,1,0,0,0,0.128247618,0.737688535,0,0.1,0.1,0,NA,Healthcare,4,4,4,4,4,3,3,3,3
7,11100901,0,0,0,30,0,1,0,1,1,0,0,0.437850691,0.732489263,0,0.5,0.4,0,NA,Healthcare,4,4,3,4,3,3,3,3,3
7,11100902,0,0,0,24,1,3,0,1,1,0,0,0.29542455,0.738577296,0,0.1,0.2,0,NA,Education,3,3,1,4,1,1,1,1,2
7,11101001,0,0,0,22,0,1,0,0,1,1,1,0.29542455,0.713654087,0,0.1,0.1,0,NA,"Security, like the police and military",1,4,4,4,4,4,3,5,1
7,11101002,0,0,0,75,0,1,0,0,0,0,0,-0.583109543,0.719041601,0,0,0.4,0,NA,Education,1,4,4,4,4,2,4,4,1
7,11101003,0,0,0,40,1,3,0,0,0,0,0,0.128247618,0.723466296,1,0,0.1,0,NA,Education,3,3,1,4,2,3,2,3,3
7,11101101,0,0,0,20,1,4,0,1,1,0,0,0.29542455,0.698028031,0,0.3,0.3,0,NA,Access to clean water,5,3,4,5,4,2,2,5,4
7,11101201,0,0,0,20,1,4,0,0,1,0,0,0.143077263,0.687173858,0,0.1,0.1,0,NA,"Direct assistance to the poor (food, cash)",4,4,5,4,5,5,3,4,2
7,11101202,1,0,0,23,0,4,0,0,1,0,0,0.29542455,0.695405663,0,0.6,0.4,0,NA,"Infrastructure, like roads and bridges",1,4,3,4,3,5,3,5,1
7,11101301,0,0,0,59,1,3,0,0,1,0,0,0.143077263,0.679364168,0,0,0.1,0,NA,"Direct assistance to the poor (food, cash)",4,5,4,4,4,3,4,5,2
